,X.1,X,AA,Segment,duration,intensity,cog,sdev,skew,kurt,Speaker,keyword,Variety,Stress
2490,2490,2490,2490,r,26.39408696,55.97938732,1135.733907,1437.886542,7.783150022,78.68382308,s24,sari1,AG,Stressed
2491,2491,2491,2491,r,25.47228342,55.98165705,1021.666353,1166.900667,9.428240171,118.0710494,s24,sari1,AG,Stressed
2530,2530,2530,2530,r,11.83315184,53.00768135,1253.119197,984.0448568,7.819766856,103.8990507,s24,sari,AG,Stressed
2531,2531,2531,2531,r,48.47758183,55.05678065,822.8345972,715.2557207,14.97445305,276.2883775,s24,sari,AG,Stressed
331,331,331,331,l,71.12594521,51.69549469,551.0895462,484.2813091,19.93364709,540.6403609,s25,lasa1,AG,Unstressed
332,332,332,332,l,84.74932476,53.59040855,595.3817287,754.551874,13.29951207,226.4159155,s25,lasa1,AG,Unstressed
371,371,371,371,l,93.61113476,54.43368919,746.5428755,694.007117,12.30998657,237.5655201,s25,lasa,AG,Stressed
372,372,372,372,l,92.63567433,57.31366478,654.8319393,438.1052499,9.143729792,148.2084637,s25,lasa,AG,Stressed
411,411,411,411,l,66.04473325,53.13657753,1216.351953,1183.992935,2.496648458,14.16913289,s25,lisa1,AG,Unstressed
412,412,412,412,l,123.1394793,49.05904997,630.7584678,699.2060096,6.458997895,56.63660452,s25,lisa1,AG,Unstressed
450,450,450,450,l,90.91621866,50.40824919,1441.583655,1544.946988,3.229434159,21.57152893,s25,lisa,AG,Stressed
451,451,451,451,l,91.96332308,53.73828977,620.73537,512.3968144,10.02449893,206.5254473,s25,lisa,AG,Stressed
492,492,492,492,l,108.766186,48.56582881,736.7119532,895.8044353,8.325064549,105.1151315,s25,sala1,AG,Stressed
493,493,493,493,l,118.6274944,50.42332433,555.5309552,605.8003943,18.43570143,447.9262113,s25,sala1,AG,Stressed
532,532,532,532,l,96.09304525,50.28091575,868.949749,923.454837,8.412579276,111.1201278,s25,sala,AG,Stressed
533,533,533,533,l,87.97586875,49.93838228,1045.516396,1285.963236,4.783968821,35.96447386,s25,sala,AG,Stressed
571,571,571,571,l,120.6236301,52.53878062,798.8890591,1094.294719,8.660357107,112.2202284,s25,sali1,AG,Stressed
572,572,572,572,l,99.30609427,51.59115928,583.7595601,630.1344209,12.19415555,248.754376,s25,sali1,AG,Stressed
610,610,610,610,l,82.05046255,47.75456928,1278.715007,1275.119827,2.905305767,20.79849443,s25,sali,AG,Stressed
611,611,611,611,l,76.54285219,45.78573181,804.0536747,1032.482939,5.427812391,53.7891337,s25,sali,AG,Stressed
649,649,649,649,n,94.66060234,43.65796979,671.0850677,666.825873,12.60283264,267.4004871,s25,sana,AG,Stressed
650,650,650,650,n,92.64125573,44.47341376,648.963416,849.536786,13.95048592,253.9087488,s25,sana,AG,Stressed
976,976,976,976,m,81.83396562,43.17518552,695.7574574,569.0172452,14.02062436,324.3494823,s25,masa1,AG,Unstressed
977,977,977,977,m,70.25973349,42.92776033,1126.903862,655.4826911,14.69740037,342.829325,s25,masa1,AG,Unstressed
1016,1016,1016,1016,m,71.86994045,47.93481735,865.8860547,479.1267298,5.189684063,116.6606813,s25,masa,AG,Stressed
1017,1017,1017,1017,m,72.3604262,45.96444337,998.3570062,522.0966604,6.450490893,139.7911817,s25,masa,AG,Stressed
1056,1056,1056,1056,m,87.69223928,40.54437468,608.3071074,757.2647815,14.92051965,301.9740757,s25,misa1,AG,Unstressed
1057,1057,1057,1057,m,77.066885,46.72374582,566.065685,576.8011175,18.73141137,491.9127474,s25,misa1,AG,Unstressed
1096,1096,1096,1096,m,105.9669669,46.45447557,568.029423,613.6292707,19.88550729,503.3795612,s25,misa,AG,Stressed
1097,1097,1097,1097,m,179.484719,43.63180794,645.4182265,768.5484236,14.65559756,291.4394566,s25,misa,AG,Stressed
1137,1137,1137,1137,m,93.66585031,44.17044791,871.6385259,1414.162284,8.439046789,89.95298026,s25,sama1,AG,Stressed
1138,1138,1138,1138,m,97.02148047,45.12921248,704.0553925,594.357991,10.36253301,243.639252,s25,sama1,AG,Stressed
1177,1177,1177,1177,m,85.93662711,44.28170507,1034.343013,699.4857973,11.85413479,251.468029,s25,sama,AG,Stressed
1178,1178,1178,1178,m,77.46797157,42.25787728,753.0027543,655.6488133,10.87377225,224.3639895,s25,sama,AG,Stressed
1216,1216,1216,1216,m,99.75041684,46.73571237,562.152276,457.570317,23.58372021,790.4990761,s25,sami1,AG,Stressed
1217,1217,1217,1217,m,86.48374072,46.99812727,520.5035351,581.679042,21.40607583,578.8945817,s25,sami1,AG,Stressed
1256,1256,1256,1256,m,95.88414732,45.22064241,657.3466068,265.3603954,8.889621016,330.015569,s25,sami,AG,Stressed
1257,1257,1257,1257,m,85.41604022,41.55913198,547.2240241,569.68492,20.95991874,573.2413818,s25,sami,AG,Stressed
1622,1622,1622,1622,n,114.0792706,47.57123468,493.7172308,443.6199819,28.2938226,999.2997813,s25,nasa1,AG,Unstressed
1623,1623,1623,1623,n,57.673409,51.28667444,671.4787463,639.9919717,6.587757493,97.93131113,s25,nasa1,AG,Unstressed
1662,1662,1662,1662,n,85.23429944,51.65630241,892.7498623,715.2684944,4.96887693,78.32869514,s25,nasa,AG,Stressed
1663,1663,1663,1663,n,71.75420785,49.2110969,564.8670191,602.4768021,16.44802124,406.571576,s25,nasa,AG,Stressed
1702,1702,1702,1702,n,71.07083445,44.8516833,581.2646542,619.4124503,20.59018359,519.262539,s25,nisa1,AG,Unstressed
1703,1703,1703,1703,n,82.56693872,45.67258492,863.5581781,848.9116744,5.223635256,71.43430359,s25,nisa1,AG,Unstressed
